name;ring;quadrant;isNew;description
JDK 12;Adopt;tools;FALSE;<p>JDK 12 LIVE</p>
JDK 14;Adopt;tools;TRUE;<p>JDK 14 FARMASI LABEL</p>
JDK 15;Adopt;tools;TRUE;<p>JDK 15 PENDAFTARAN RAWAT JALAN</p>
MySQL;Adopt;platforms;FALSE;<p>DB Production</p>
Java 12;Adopt;languages-and-frameworks;FALSE;<p>Main language</p>
PHP 7.2;Adopt;languages-and-frameworks;FALSE;
PHP 7.4;Adopt;languages-and-frameworks;FALSE;
PHP 8.0;Assess;languages-and-frameworks;TRUE;
Code Igniter 4;Assess;languages-and-frameworks;TRUE;
aaPanel;Assess;tools;TRUE;
Monolitik;Adopt;techniques;FALSE;
Plugin Arsitektur;Adopt;Techniques;FALSE;
